[2026-04-24 00:00:54] [INFO] [API/UploadRecords] 收到同步请求, stationID=1, records=1
[2026-04-24 00:49:09] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:49:09] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:50:09] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:50:10] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:51:11] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:51:11] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:52:12] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:52:12] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:53:13] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:53:13] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:54:14] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:54:14] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:55:15] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:55:15] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:56:17] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:56:17] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:57:17] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:57:17] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:58:19] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:58:19] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 00:59:20] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 00:59:20] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:00:21] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:00:21] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:01:22] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:01:22] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:02:23] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:02:23] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:03:24] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:03:25] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:04:26] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:04:26] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:05:27] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:05:27] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:06:28] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:06:28] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:07:29] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:07:29] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:08:30] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:08:30] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:09:32] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:09:32] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:10:33] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:10:33] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:11:34] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:11:34] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:12:35] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:12:35] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:13:37] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:13:37] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:14:38] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:14:38] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:15:39] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:15:39] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:16:41] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:16:41] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:17:41] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:17:41] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:18:43] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:18:43] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:19:44] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:19:44] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:20:46] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:20:46] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:21:47] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:21:47] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:22:48] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:22:48] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:23:50] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:23:50] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:24:50] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:24:50] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:25:52] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:25:52] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:26:53] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:26:53] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
